id,name,value,datatype,parent
0,memoryId,MICRON_16Gb_LPDDR4-3200_32bit_A,string,-1
1,memoryType,LPDDR4,string,-1
2,memarchitecturespec,,string,-1
3,memtimingspec,,string,-1
4,mempowerspec,,string,-1
5,width,32,int,2
6,nbrOfBanks,8,int,2
7,nbrOfRanks,1,int,2
8,nbrOfColumns,1024,int,2
9,nbrOfRows,65536,int,2
10,dataRate,2,int,2
11,burstLength,16,int,2
12,clkMhz,1600,int,3
13,REFI,25000,int,3
14,RFC,448,int,3
15,RL,32,int,3
16,WL,16,int,3
17,CL,0,int,3
18,AL,0,int,3
19,RP,29,int,3
20,RAS,67,int,3
21,RCD,29,int,3
22,RC,96,int,3
23,FAW,64,int,3
24,RRD,16,int,3
25,RTP,12,int,3
26,WR,30,int,3
27,CCD,16,int,3
28,WTR,16,int,3
29,DQSCK,2,int,3
30,XP,12,int,3
31,XPDLL,6,int,3
32,XS,112,int,3
33,XSDLL,112,int,3
34,CKE,12,int,3
35,CKESR,12,int,3
36,idd0,15.0,double,4
37,idd02,80.0,double,4
38,idd2p0,0.6,double,4
39,idd2p02,0.87,double,4
40,idd2p1,0.6,double,4
41,idd2p12,0.87,double,4
42,idd2n,2.0,double,4
43,idd2n2,38.0,double,4
44,idd3p0,1.2,double,4
45,idd3p02,8.15,double,4
46,idd3p1,1.2,double,4
47,idd3p12,8.15,double,4
48,idd3n,2.0,double,4
49,idd3n2,45.0,double,4
50,idd4r,5.0,double,4
51,idd4r2,260.0,double,4
52,idd4w,10.0,double,4
53,idd4w2,284.0,double,4
54,idd5,40.0,double,4
55,idd52,160.0,double,4
56,idd6,1.0,double,4
57,idd62,3.27,double,4
58,vdd,1.8,double,4
59,vdd2,1.2,double,4